,stock,date,open,high,low,adj_close,volume
0,ATVI,"Jul 31, 2018",72.91,74.29,72.52,73.42,"6,373,210"
1,ATVI,"Jul 30, 2018",75.37,75.48,71.79,72.75,"8,907,262"
